dataset,strategy,seed,task_id,n,coverage,coverage_deficit,mean_set_size,normalized_mean_set_size,p90_set_size,empty_rate,singleton_action_rate,no_decision_rate,action_accuracy,wrong_action_rate_all,top1_accuracy,valid_calibrator_rate
MNIST,global_seed,0,0,600,0.8983333333333333,0.0016666666666667052,0.9066666666666666,0.15111111111111108,1.0,0.09333333333333334,0.9066666666666666,0.09333333333333338,0.9908088235294118,0.008333333333333333,0.965,1.0
MNIST,global_seed,0,1,600,0.8866666666666667,0.013333333333333308,0.8916666666666667,0.14861111111111108,1.0,0.10833333333333334,0.8916666666666667,0.10833333333333328,0.994392523364486,0.005,0.9683333333333334,1.0
MNIST,global_seed,0,2,600,0.79,0.10999999999999999,0.8033333333333333,0.1338888888888889,1.0,0.19666666666666666,0.8033333333333333,0.19666666666666666,0.983402489626556,0.013333333333333334,0.9483333333333334,1.0
MNIST,global_seed,0,3,600,0.9366666666666666,0.0,0.9416666666666667,0.15694444444444444,1.0,0.058333333333333334,0.9416666666666667,0.05833333333333335,0.9946902654867257,0.005,0.9883333333333333,1.0
MNIST,global_seed,0,4,600,0.88,0.020000000000000018,0.8966666666666666,0.14944444444444444,1.0,0.10333333333333333,0.8966666666666666,0.10333333333333339,0.9814126394052045,0.016666666666666666,0.9516666666666667,1.0
MNIST,global_seed,1,0,600,0.94,0.0,0.9483333333333334,0.15805555555555556,1.0,0.051666666666666666,0.9483333333333334,0.05166666666666664,0.9912126537785588,0.008333333333333333,0.9766666666666667,1.0
MNIST,global_seed,1,1,600,0.925,0.0,0.9416666666666667,0.15694444444444444,1.0,0.058333333333333334,0.9416666666666667,0.05833333333333335,0.9823008849557522,0.016666666666666666,0.9666666666666667,1.0
MNIST,global_seed,1,2,600,0.8633333333333333,0.036666666666666736,0.88,0.14666666666666667,1.0,0.12,0.88,0.12,0.9810606060606061,0.016666666666666666,0.945,1.0
MNIST,global_seed,1,3,600,0.9033333333333333,0.0,0.9116666666666666,0.15194444444444444,1.0,0.08833333333333333,0.9116666666666666,0.08833333333333337,0.9908592321755028,0.008333333333333333,0.9583333333333334,1.0
MNIST,global_seed,1,4,600,0.9316666666666666,0.0,0.9516666666666667,0.15861111111111112,1.0,0.04833333333333333,0.9516666666666667,0.04833333333333334,0.978984238178634,0.02,0.965,1.0
MNIST,global_seed,2,0,600,0.8783333333333333,0.021666666666666723,0.8833333333333333,0.14722222222222223,1.0,0.11666666666666667,0.8833333333333333,0.1166666666666667,0.9943396226415094,0.005,0.9516666666666667,1.0
MNIST,global_seed,2,1,600,0.93,0.0,0.9433333333333334,0.15722222222222224,1.0,0.056666666666666664,0.9433333333333334,0.05666666666666664,0.9858657243816255,0.013333333333333334,0.9716666666666667,1.0
MNIST,global_seed,2,2,600,0.89,0.010000000000000009,0.91,0.15166666666666667,1.0,0.09,0.91,0.08999999999999997,0.978021978021978,0.02,0.9433333333333334,1.0
MNIST,global_seed,2,3,600,0.9183333333333333,0.0,0.925,0.15416666666666667,1.0,0.075,0.925,0.07499999999999996,0.9927927927927928,0.006666666666666667,0.9733333333333334,1.0
MNIST,global_seed,2,4,600,0.8633333333333333,0.036666666666666736,0.8716666666666667,0.14527777777777776,1.0,0.12833333333333333,0.8716666666666667,0.1283333333333333,0.9904397705544933,0.008333333333333333,0.9416666666666667,1.0
MNIST,global_seed,3,0,600,0.9316666666666666,0.0,0.9366666666666666,0.15611111111111112,1.0,0.06333333333333334,0.9366666666666666,0.06333333333333335,0.994661921708185,0.005,0.9733333333333334,1.0
MNIST,global_seed,3,1,600,0.935,0.0,0.945,0.1575,1.0,0.055,0.945,0.05500000000000005,0.9894179894179894,0.01,0.965,1.0
MNIST,global_seed,3,2,600,0.8933333333333333,0.00666666666666671,0.9,0.15,1.0,0.1,0.9,0.09999999999999998,0.9925925925925926,0.006666666666666667,0.9616666666666667,1.0
MNIST,global_seed,3,3,600,0.94,0.0,0.9466666666666667,0.1577777777777778,1.0,0.05333333333333334,0.9466666666666667,0.053333333333333344,0.9929577464788732,0.006666666666666667,0.9783333333333334,1.0
MNIST,global_seed,3,4,600,0.9033333333333333,0.0,0.9183333333333333,0.15305555555555556,1.0,0.08166666666666667,0.9183333333333333,0.08166666666666667,0.9836660617059891,0.015,0.9666666666666667,1.0
MNIST,global_seed,4,0,600,0.9616666666666667,0.0,0.9666666666666667,0.16111111111111112,1.0,0.03333333333333333,0.9666666666666667,0.033333333333333326,0.9948275862068966,0.005,0.9833333333333333,1.0
MNIST,global_seed,4,1,600,0.855,0.04500000000000004,0.865,0.14416666666666667,1.0,0.135,0.865,0.135,0.9884393063583815,0.01,0.9616666666666667,1.0
MNIST,global_seed,4,2,600,0.7883333333333333,0.11166666666666669,0.8033333333333333,0.1338888888888889,1.0,0.19666666666666666,0.8033333333333333,0.19666666666666666,0.9813278008298755,0.015,0.94,1.0
MNIST,global_seed,4,3,600,0.9183333333333333,0.0,0.9266666666666666,0.15444444444444444,1.0,0.07333333333333333,0.9266666666666666,0.07333333333333336,0.9910071942446043,0.008333333333333333,0.9683333333333334,1.0
MNIST,global_seed,4,4,600,0.8416666666666667,0.05833333333333335,0.8483333333333334,0.14138888888888887,1.0,0.15166666666666667,0.8483333333333334,0.15166666666666662,0.9921414538310412,0.006666666666666667,0.9683333333333334,1.0
MNIST,stale_t0_seed,0,0,600,0.8283333333333334,0.07166666666666666,0.835,0.13916666666666666,1.0,0.165,0.835,0.16500000000000004,0.9920159680638723,0.006666666666666667,0.965,1.0
MNIST,stale_t0_seed,0,1,600,0.7983333333333333,0.10166666666666668,0.8,0.13333333333333333,1.0,0.2,0.8,0.19999999999999996,0.9979166666666667,0.0016666666666666668,0.9683333333333334,1.0
MNIST,stale_t0_seed,0,2,600,0.5816666666666667,0.31833333333333336,0.585,0.0975,1.0,0.415,0.585,0.41500000000000004,0.9943019943019943,0.0033333333333333335,0.9483333333333334,1.0
MNIST,stale_t0_seed,0,3,600,0.8216666666666667,0.07833333333333337,0.8266666666666667,0.13777777777777775,1.0,0.17333333333333334,0.8266666666666667,0.17333333333333334,0.9939516129032258,0.005,0.9883333333333333,1.0
MNIST,stale_t0_seed,0,4,600,0.7066666666666667,0.19333333333333336,0.7166666666666667,0.11944444444444442,1.0,0.2833333333333333,0.7166666666666667,0.2833333333333333,0.986046511627907,0.01,0.9516666666666667,1.0
MNIST,stale_t0_seed,1,0,600,0.9,0.0,0.9016666666666666,0.15027777777777776,1.0,0.09833333333333333,0.9016666666666666,0.09833333333333338,0.9981515711645101,0.0016666666666666668,0.9766666666666667,1.0
MNIST,stale_t0_seed,1,1,600,0.8766666666666667,0.023333333333333317,0.8833333333333333,0.14722222222222223,1.0,0.11666666666666667,0.8833333333333333,0.1166666666666667,0.9924528301886792,0.006666666666666667,0.9666666666666667,1.0
MNIST,stale_t0_seed,1,2,600,0.7166666666666667,0.18333333333333335,0.7283333333333334,0.12138888888888888,1.0,0.27166666666666667,0.7283333333333334,0.2716666666666666,0.9839816933638444,0.011666666666666667,0.945,1.0
MNIST,stale_t0_seed,1,3,600,0.7833333333333333,0.1166666666666667,0.7866666666666666,0.1311111111111111,1.0,0.21333333333333335,0.7866666666666666,0.21333333333333337,0.9957627118644068,0.0033333333333333335,0.9583333333333334,1.0
MNIST,stale_t0_seed,1,4,600,0.85,0.050000000000000044,0.86,0.14333333333333334,1.0,0.14,0.86,0.14,0.9883720930232558,0.01,0.965,1.0
