dataset,strategy,seed,n,coverage,coverage_deficit,mean_set_size,normalized_mean_set_size,p90_set_size,empty_rate,singleton_action_rate,no_decision_rate,action_accuracy,wrong_action_rate_all,top1_accuracy,valid_calibrator_rate
MNIST,global_seed,0,3000,0.8783333333333333,0.021666666666666723,0.888,0.148,1.0,0.112,0.888,0.11199999999999999,0.9891141141141141,0.009666666666666667,0.9643333333333334,1.0
MNIST,global_seed,1,3000,0.9126666666666666,0.0,0.9266666666666666,0.15444444444444447,1.0,0.07333333333333333,0.9266666666666666,0.07333333333333336,0.9848920863309353,0.014,0.9623333333333334,1.0
MNIST,global_seed,2,3000,0.896,0.0040000000000000036,0.9066666666666666,0.1511111111111111,1.0,0.09333333333333334,0.9066666666666666,0.09333333333333338,0.9882352941176471,0.010666666666666666,0.9563333333333334,1.0
MNIST,global_seed,3,3000,0.9206666666666666,0.0,0.9293333333333333,0.15488888888888888,1.0,0.07066666666666667,0.9293333333333333,0.07066666666666666,0.990674318507891,0.008666666666666666,0.969,1.0
MNIST,global_seed,4,3000,0.873,0.027000000000000024,0.882,0.147,1.0,0.118,0.882,0.118,0.9897959183673469,0.009,0.9643333333333334,1.0
MNIST,stale_t0_seed,0,3000,0.7473333333333333,0.15266666666666673,0.7526666666666667,0.12544444444444447,1.0,0.24733333333333332,0.7526666666666667,0.2473333333333333,0.9929140832595217,0.005333333333333333,0.9643333333333334,1.0
MNIST,stale_t0_seed,1,3000,0.8253333333333334,0.07466666666666666,0.832,0.13866666666666666,1.0,0.168,0.832,0.16800000000000004,0.9919871794871795,0.006666666666666667,0.9623333333333334,1.0
MNIST,stale_t0_seed,2,3000,0.928,0.0,0.9466666666666667,0.1577777777777778,1.0,0.05333333333333334,0.9466666666666667,0.053333333333333344,0.9802816901408451,0.018666666666666668,0.9563333333333334,1.0
MNIST,stale_t0_seed,3,3000,0.9206666666666666,0.0,0.9293333333333333,0.15488888888888888,1.0,0.07066666666666667,0.9293333333333333,0.07066666666666666,0.990674318507891,0.008666666666666666,0.969,1.0
MNIST,stale_t0_seed,4,3000,0.6273333333333333,0.2726666666666667,0.63,0.105,1.0,0.37,0.63,0.37,0.9957671957671957,0.0026666666666666666,0.9643333333333334,1.0
MNIST,oracle_task,0,3000,0.8666666666666667,0.033333333333333326,0.877,0.14616666666666667,1.0,0.123,0.877,0.123,0.9882174078297226,0.010333333333333333,0.9643333333333334,1.0
MNIST,oracle_task,1,3000,0.8976666666666666,0.0023333333333334094,0.9106666666666666,0.15177777777777776,1.0,0.08933333333333333,0.9106666666666666,0.08933333333333338,0.9857247437774525,0.013,0.9623333333333334,1.0
MNIST,oracle_task,2,3000,0.897,0.0030000000000000027,0.9093333333333333,0.15155555555555555,1.0,0.09066666666666667,0.9093333333333333,0.09066666666666667,0.9864369501466276,0.012333333333333333,0.9563333333333334,1.0
MNIST,oracle_task,3,3000,0.9203333333333333,0.0,0.9283333333333333,0.15472222222222223,1.0,0.07166666666666667,0.9283333333333333,0.07166666666666666,0.9913824057450629,0.008,0.969,1.0
MNIST,oracle_task,4,3000,0.863,0.03700000000000003,0.8723333333333333,0.1453888888888889,1.0,0.12766666666666668,0.8723333333333333,0.1276666666666667,0.9893007260221628,0.009333333333333334,0.9643333333333334,1.0
MNIST,inferred_bucket,0,3000,0.8666666666666667,0.033333333333333326,0.877,0.14616666666666667,1.0,0.123,0.877,0.123,0.9882174078297226,0.010333333333333333,0.9643333333333334,1.0
MNIST,inferred_bucket,1,3000,0.8976666666666666,0.0023333333333334094,0.9106666666666666,0.15177777777777776,1.0,0.08933333333333333,0.9106666666666666,0.08933333333333338,0.9857247437774525,0.013,0.9623333333333334,1.0
